participant_id,wcst_rl_alpha,wcst_rl_beta,wcst_rl_n_trials,wcst_rl_alpha_pos,wcst_rl_alpha_neg,wcst_rl_alpha_asymmetry,wcst_rl_beta_asym,wcst_rl_asym_n_trials
kR2rCtaPyPaj7YMizKUDn5xL2qx1,0.01,0.1,84,0.99,0.34281362927296516,0.6471863707270349,0.28313030195220373,84
kgSRatooJJfDaMZ2yIURqb8aJuE3,0.99,0.4819372059333478,67,0.99,0.22403417134718745,0.7659658286528126,0.6919731217244708,67
kxerHPSL3bQjD74HhiebYf3blPr1,0.01,1.7006059189666727,115,0.39532665200120715,0.6931813249916637,-0.2978546729904566,0.49986211604741787,115
lHDkoPQu5reNCO45npeYSS9eLQl1,0.01,0.1,109,0.4866550456094873,0.2736613077311754,0.21299373787831188,0.6668831757503095,109
lpzDdvuMkKWkPxu6xeclmdctEp42,0.28807212581454916,0.5810480755039161,84,0.1719866849580062,0.4995967700579241,-0.32761008509991785,0.6014499988561602,84
m69r9GQTk2b51mvxrFLt4fZeJi52,0.01,2.991164387851905,81,0.01,0.35230343987679963,-0.3423034398767996,4.590200369807491,81
mUZzgdWKnPb2txOkJg9FHgqX5792,0.01,0.1,107,0.99,0.99,0.0,0.18400297129289112,107
mYRMPGfR5gRSjnp7ojjD5sXo7Jr2,0.7412959004782036,0.8644720323157159,74,0.5423891389087551,0.99,-0.4476108610912449,0.7875094867686379,74
mg2WZiRBn4NQDKiMK43Y8dBqyG53,0.01,0.1,126,0.01,0.99,-0.98,0.1,126
mweMgSlGM2VxThhwnupYxYzUbR23,0.01,0.1,80,0.01,0.99,-0.98,0.1,80
mwsliuPsLFhRFjtjQwYkqcCRDvi2,0.01,0.1,72,0.8202743163946369,0.01,0.8102743163946369,0.5904099709166181,72
nHy6rdfyacWW9BnyDb1dNvNYWfh1,0.01,0.10000000000000009,98,0.01,0.99,-0.98,0.1,98
nT1qJOiMyDdJ9ui4el195A8Hsgs1,0.01,0.1,79,0.01,0.01,0.0,0.1,79
o4jXmZcjtMVF2ZInToRpVHUhpdV2,0.01,0.10000000000000009,74,0.01,0.99,-0.98,1.5814866753995804,74
ohl9pXqpeSMfepC3w9h0tW5SbJw1,0.20348583422158684,0.7676481380552099,74,0.19761224975214334,0.028987875358731926,0.1686243743934114,0.9200194303283608,74
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,0.01,0.1,85,0.2120731916328702,0.6990680607389315,-0.48699486910606127,0.21495202268830707,85
pRQimOpZtsekBI2I1kbnD3pycmo1,0.10779760005821362,1.019487330978529,77,0.043141897267011814,0.23647414091471242,-0.1933322436477006,1.8002471769065396,77
pYrcE6tMnVQP1kHAjYwvIz5NOvn1,0.01,0.1,89,0.01,0.01,0.0,0.1,89
pcbRW89vVJcviD87V3uxyG4I9st2,0.01,0.1,71,0.01,0.01,0.0,0.10000000000000009,71
q0Atnpm0jZS5swcVmq0EMalQUKw1,0.01,0.1,71,0.01,0.5070621290144603,-0.49706212901446034,0.1,71
